[2017-06-14 09:42:37.382] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:42:52.252] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:42:52.670] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:42:54.816] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:42:55.117] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:42:55.448] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:43:01.383] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:45:27.996] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:51:03.992] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:51:04.806] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:51:24.413] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:52:54.431] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:52:55.018] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:53:28.533] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:54:34.352] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
[2017-06-14 09:54:46.487] [WARN] normal - conditions { sort: {}, skip: 0, limit: 3 } {}
